診療年月：H30年04月～H31年03月　外用薬 外来（院外）　※集計結果が1000未満の場合は「‐」で表示（1000未満の箇所が1箇所の場合は1000以上の最小値を全て「‐」で表示）※集計対象期間内に名称や点数・金額等に変更がある場合、集計対象期間当初の情報で表示,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"薬効
分類",薬効分類名称,"医薬品
コード",医薬品名,単位,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計,男,,,,,,,,,,,,,,,,,,,,,女,,,,,,,,,,,,,,,,,,,,
"薬効
分類",薬効分類名称,"医薬品
コード",医薬品名,単位,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上
,,660454001,アルピニー坐剤１００　１００ｍｇ,個,1141700J2092,19.3 ,0,"3,011,855 ","1,548,563 ","30,197 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,045 ",-,-,-,-,"1,386,646 ","26,083 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,944 ","3,518 ","2,584 ","2,060 ",-
,,621362323,ジクロフェナクＮａ坐剤５０ｍｇ「日新」,個,1147700J3270,19.9 ,1,"1,385,127 ",-,-,-,"2,589 ","5,150 ","10,203 ","18,315 ","29,239 ","43,617 ","54,204 ","56,105 ","60,250 ","62,810 ","84,707 ","77,758 ","75,241 ","55,093 ","35,042 ","9,309 ","1,077 ",-,-,-,-,"1,502 ","2,888 ","5,363 ","6,962 ","16,110 ","21,550 ","37,220 ","38,362 ","48,497 ","58,109 ","74,879 ","88,290 ","109,530 ","110,196 ","61,410 ","20,207 ","2,828 ",-
,,621362353,ジクロフェナクナトリウム坐剤５０ｍｇ「日医工」,個,1147700J3254,19.9 ,1,"1,376,131 ",-,-,-,"2,186 ","6,465 ","12,576 ","21,905 ","33,132 ","51,142 ","68,581 ","67,979 ","70,595 ","69,678 ","84,728 ","81,415 ","71,049 ","50,084 ","30,430 ","7,862 ","1,256 ",-,-,-,-,"1,826 ","5,197 ","6,732 ","10,894 ","18,775 ","30,626 ","39,535 ","40,349 ","50,184 ","51,648 ","69,140 ","78,963 ","88,663 ","87,314 ","46,251 ","15,410 ","2,689 ",-
,,621939701,ジクロフェナクナトリウム坐剤５０ｍｇ「ＪＧ」,個,1147700J3238,19.9 ,1,"1,303,548 ",-,-,-,"3,265 ","6,226 ","13,406 ","22,429 ","34,897 ","49,687 ","65,458 ","68,058 ","65,134 ","66,103 ","83,339 ","77,563 ","71,757 ","44,985 ","26,627 ","5,298 ","1,708 ",-,-,-,-,"2,161 ","4,674 ","6,942 ","10,497 ","16,458 ","27,546 ","37,579 ","46,144 ","48,793 ","51,734 ","67,371 ","73,988 ","83,026 ","65,771 ","37,567 ","14,262 ","2,180 ",-
,,661140201,アデフロニックズポ５０　５０ｍｇ,個,1147700J3033,19.9 ,1,"1,241,598 ",-,-,-,"2,408 ","5,131 ","11,821 ","17,925 ","29,079 ","44,607 ","56,677 ","53,878 ","56,545 ","62,772 ","79,092 ","69,147 ","66,152 ","48,610 ","28,258 ","7,689 ",-,-,-,-,-,"1,443 ","3,084 ","5,872 ","8,437 ","14,103 ","26,112 ","35,536 ","41,209 ","40,911 ","50,186 ","69,044 ","75,435 ","83,486 ","80,277 ","48,909 ","13,682 ","3,101 ",-
,,621362236,ジクロフェナクナトリウム坐剤２５ｍｇ「日医工」,個,1147700J2231,19.9 ,1,"1,180,795 ",-,-,-,"1,115 ","1,462 ","2,338 ","3,516 ","4,933 ","6,076 ","8,879 ","10,673 ","13,450 ","19,463 ","30,469 ","38,662 ","48,760 ","48,802 ","40,961 ","14,813 ","2,207 ",-,-,-,-,"1,949 ","2,934 ","3,992 ","6,469 ","10,167 ","13,924 ","17,478 ","21,198 ","24,670 ","33,367 ","61,939 ","98,967 ","151,969 ","182,081 ","160,709 ","72,549 ","15,890 ","2,499 "
,,622060902,アセトアミノフェン坐剤小児用２００ｍｇ「ＪＧ」,個,1141700J3153,19.9 ,1,"1,177,744 ","464,783 ","150,644 ","5,573 ","1,331 ",-,-,-,-,-,-,-,-,-,"1,591 ","2,477 ","3,578 ","4,685 ","5,447 ","3,748 ",-,-,"337,832 ","121,214 ","4,138 ",-,-,-,-,-,-,-,-,-,"1,144 ","4,715 ","2,869 ","5,986 ","9,728 ","12,558 ","12,089 ","6,069 ","1,043 "
,,661140091,アルピニー坐剤２００　２００ｍｇ,個,1141700J3021,25.8 ,0,"1,174,812 ","402,000 ","162,667 ","9,274 ","1,955 ","2,260 ","1,173 ","1,256 ",-,-,-,-,"2,432 ","1,255 ","3,318 ","4,809 ","6,028 ","9,445 ","12,239 ","6,218 ","1,886 ",-,"282,308 ","128,301 ","6,195 ","1,606 ","1,003 ","1,144 ","1,449 ","1,700 ","1,219 ","1,489 ",-,"1,864 ","2,712 ","2,945 ","6,025 ","11,298 ","20,932 ","29,305 ","25,146 ","11,796 ","3,604 "
,,621362217,ジクロフェナクＮａ坐剤２５ｍｇ「日新」,個,1147700J2258,19.9 ,1,"1,130,555 ",-,-,-,-,"1,066 ","1,609 ","4,045 ","3,381 ","5,005 ","7,656 ","7,507 ","10,542 ","13,671 ","26,516 ","33,536 ","43,164 ","45,810 ","38,148 ","20,097 ","3,186 ",-,-,-,-,"1,928 ","2,885 ","3,153 ","4,602 ","7,287 ","12,604 ","12,149 ","16,042 ","21,981 ","29,613 ","55,929 ","79,879 ","133,539 ","203,929 ","174,078 ","83,466 ","18,698 ","1,314 "
,,621939601,ジクロフェナクナトリウム坐剤２５ｍｇ「ＪＧ」,個,1147700J2207,19.9 ,1,"1,094,393 ",-,-,-,-,"1,027 ","1,817 ","2,945 ","4,244 ","8,591 ","9,203 ","11,008 ","13,012 ","18,026 ","28,928 ","36,476 ","43,538 ","51,745 ","43,295 ","15,043 ","2,562 ",-,-,-,-,"2,727 ","2,977 ","3,832 ","6,411 ","8,074 ","13,757 ","18,790 ","18,625 ","25,776 ","33,187 ","54,966 ","79,798 ","133,846 ","173,020 ","141,403 ","67,462 ","14,183 ","1,079 "
