"医薬品
コード",医薬品名,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計
621762901,ツロブテロールテープ０．５ｍｇ「タカタ」,2259707S1195,28.0 ,1,"18,268 "
622148501,ツロブテロールテープ０．５ｍｇ「ファイザー」,2259707S1179,19.5 ,1,"16,339 "
620005751,ツロブテロールテープ１ｍｇ「テイコク」,2259707S2132,39.2 ,1,"16,007 "
620403601,アイロミールエアゾール１００μｇ　０．３８５４％８．９ｇ,2254700G3030,966.7 ,0,"14,385 "
620005747,ツロブテロールテープ０．５ｍｇ「ＭＥＤ」,2259707S1110,28.0 ,1,"13,416 "
620008254,ツロブテロールテープ０．５ｍｇ「ＳＮ」,2259707S1144,28.0 ,1,"13,119 "
620006367,アニスーマ坐剤,2259800J1030,21.6 ,0,"10,940 "
620002313,テルシガンエロゾル１００μｇ　０．１７８％９．５ｇ,2259706G2020,959.8 ,0,"9,590 "
622426401,アノーロエリプタ３０吸入用,2259806G2028,"8,324.2 ",0,"9,219 "
620004225,ツロブテロールテープ０．５ｍｇ「ＱＱ」,2259707S1063,28.0 ,1,"8,912 "
620004223,ツロブテロールテープ０．５「ＥＭＥＣ」　０．５ｍｇ,2259707S1047,28.0 ,1,"8,738 "
622180901,オーキシス９μｇタービュヘイラー２８吸入　２５２μｇ（９μｇ）,2259711G1024,"1,707.4 ",0,"7,107 "
622277401,オーキシス９μｇタービュヘイラー６０吸入　５４０μｇ（９μｇ）,2259711G2020,"3,596.5 ",0,"7,023 "
620009204,インタールエアロゾル１ｍｇ　２％１０ｍＬ,2259701R2036,"2,736.8 ",0,"6,781 "
660463003,アトロベントエロゾル２０μｇ　４．２０ｍｇ１０ｍＬ,2259702G2021,896.4 ,0,"5,163 "
620002626,メプチンクリックヘラー１０μｇ　２ｍｇ,2259704G7022,"1,262.3 ",0,"5,128 "
622414701,エクリラ４００μｇジェヌエア３０吸入用,2259713G1023,"3,150.9 ",0,"4,673 "
620005748,ツロブテロールテープ０．５ｍｇ「テイコク」,2259707S1136,28.0 ,1,"3,511 "
622049201,ツロブテロールテープ０．５ｍｇ「アメル」,2259707S1160,19.5 ,1,"2,393 "
622450101,スピオルトレスピマット２８吸入,2259807G1026,"4,256.9 ",0,"2,238 "
622049301,ツロブテロールテープ１ｍｇ「アメル」,2259707S2167,28.7 ,1,"1,683 "
622415901,エンクラッセ６２．５μｇエリプタ３０吸入用,2259714G2024,"6,166.6 ",0,-
622415801,エンクラッセ６２．５μｇエリプタ７吸入用,2259714G1028,"1,479.5 ",0,-
620008969,イソジンガーグル液７％,2260701F1271,3.3 ,0,"41,835,515 "
660463002,アズノールうがい液４％,2260700F1021,46.8 ,1,"8,268,326 "
620003851,含嗽用ハチアズレ顆粒　０．１％,2260702F1055,6.0 ,0,"7,542,377 "
620006470,ネオヨジンガーグル７％,2260701F1212,2.4 ,1,"5,262,423 "
620007564,アズレン含嗽用散０．４％「トーワ」,2260700B1119,6.2 ,1,"2,904,723 "
620003863,ネグミンガーグル７％,2260701F1204,2.4 ,1,"1,954,915 "
620007724,バウロ散含嗽用０．４％,2260700B1127,6.2 ,1,"1,461,692 "
620415301,ポビドンヨード含嗽用液７％「ＹＤ」,2260701F1360,2.4 ,1,"1,337,161 "
620416001,ＡＺ含嗽用配合細粒「ＮＰ」　０．１％,2260702F1063,6.0 ,1,"1,312,022 "
620007784,ポピヨドンガーグル７％,2260701F1255,2.4 ,1,"1,297,094 "
620008968,イオダインガーグル液７％,2260701F1263,2.4 ,1,"1,138,662 "
620006360,アズレン散含嗽用０．４％（大正薬品）,2260700B1097,6.2 ,1,"1,112,481 "
620006531,マズレニンガーグル散０．４％,2260700B1100,6.2 ,1,"1,109,877 "
620009067,ポピロンガーグル７％,2260701F1298,2.4 ,1,"1,085,699 "
620414804,ポビドンヨードガーグル７％「マイラン」,2260701F1387,2.4 ,1,"924,412 "
621269801,アズレン含嗽用顆粒０．４％「ツルハラ」,2260700C1149,6.2 ,1,"922,237 "
621518203,ポビドンヨードガーグル７％「日医工」,2260701F1352,2.4 ,1,"803,730 "
620003010,アズガグルうがい液Ｔ４％,2260700F1030,46.8 ,1,"803,716 "
620003016,アズレン含嗽液アーズミンうがい液１％,2260700F2036,11.7 ,1,"787,449 "
620413003,アズレン散含嗽用０．４％「杏林」,2260700B1151,6.2 ,1,"647,942 "
620415501,ポビドンヨードガーグル７％「メタル」,2260701F1336,2.4 ,1,"606,559 "
620007563,アズレン含嗽用顆粒０．４％「日医工」,2260700C1106,6.2 ,1,"590,641 "
620007643,ＪＤガーグル７％,2260701F1239,2.4 ,1,"588,992 "
620003014,アズレワンうがい液１％,2260700F2028,11.7 ,1,"542,913 "
620007615,エマーゲン顆粒含嗽用０．４％,2260700C1114,6.2 ,1,"495,408 "
620008235,アズレンうがい液４％「ケンエー」,2260700F1102,46.8 ,1,"416,764 "
621983001,アズレンうがい液４％「ＴＹＫ」,2260700F1129,46.8 ,1,"378,111 "
620414001,水溶性アズレン含嗽用顆粒０．４％「ＹＤ」,2260700C1130,6.2 ,1,"323,573 "
620003019,アボダースうがい液４％,2260700F1080,46.8 ,1,"276,289 "
620415401,ポビドンヨードガーグル７％「ショーワ」,2260701F1379,2.4 ,1,"219,954 "
