院内採用状況	製品名（■/◇：一般用薬/要指導医薬品）	製品名（英名）	製造販売会社	発売・販売会社	剤形	規格単位	薬価	規制区分	薬効	薬効分類	一般名	一般名（英名）	YJコード	HOTコード	製品備考	識別コード	色	割線の有無	添加物
	ベタヒスチンメシル酸塩錠6mg「CEO」	Betahistine Mesilate	セオリアファーマ	武田薬品工業	錠：内服	6mg1錠	6.10円／錠	後局処	めまい・平衡障害治療剤	133	ベタヒスチンメシル酸塩	betahistine mesilate（JP）	1339005F1431	122314901	薬価収載2013.06.21	CEO701	白	○	タルク，低置換度ヒドロキシプロピルセルロース，含水二酸化ケイ素，結晶セルロース，ヒドロキシプロピルセルロース，ステアリン酸カルシウム
	ベタヒスチンメシル酸塩錠6mg「テバ」【経過措置】	Betahistine Mesilate“TEVA”	武田テバ薬品	武田テバファーマ，武田薬品工業	錠：内服	6mg1錠	6.10円／錠	後局処	めまい・平衡障害治療剤	133	ベタヒスチンメシル酸塩	betahistine mesilate（JP）	1339005F1415	102348004，102348005	代替品：ベタヒスチンメシル酸塩錠6mg「日医工P」【薬価削除予定2022.03.31】	〓54 TYK54	白	○	タルク，低置換度ヒドロキシプロピルセルロース，含水二酸化ケイ素，結晶セルロース，ヒドロキシプロピルセルロース，ステアリン酸カルシウム
	ベタヒスチンメシル酸塩錠12mg「CEO」	Betahistine Mesilate	セオリアファーマ	武田薬品工業	錠：内服	12mg1錠	6.40円／錠	後局処	めまい・平衡障害治療剤	133	ベタヒスチンメシル酸塩	betahistine mesilate（JP）	1339005F2217	122315601	薬価収載2013.06.21	CEO702	白	○	タルク，低置換度ヒドロキシプロピルセルロース，含水二酸化ケイ素，結晶セルロース，ヒドロキシプロピルセルロース，ステアリン酸カルシウム
	ベタヒスチンメシル酸塩錠12mg「テバ」【経過措置】	Betahistine Mesilate“TEVA”	武田テバ薬品	武田テバファーマ，武田薬品工業	錠：内服	12mg1錠	6.40円／錠	後局処	めまい・平衡障害治療剤	133	ベタヒスチンメシル酸塩	betahistine mesilate（JP）	1339005F2187	102357209，102357210	代替品：ベタヒスチンメシル酸塩錠12mg「日医工P」【薬価削除予定2022.03.31】	〓55 TYK55	白	○	タルク，低置換度ヒドロキシプロピルセルロース，含水二酸化ケイ素，結晶セルロース，ヒドロキシプロピルセルロース，ステアリン酸カルシウム
	ペチジン塩酸塩注射液35mg「タケダ」	Pethidine Hydrochloride	武田薬品工業		注射液：注射	3.5％1mL1管	341.00円／管	局麻処	鎮痛・鎮痙合成麻薬	821	ペチジン塩酸塩	pethidine hydrochloride（JP）	8211400A1049	185128102，185128104，185128105，185128106	薬価収載2009.10.01				塩化ナトリウム，pH調整剤
	ペチジン塩酸塩注射液50mg「タケダ」	Pethidine Hydrochloride	武田薬品工業		注射液：注射	5％1mL1管	361.00円／管	局麻処	鎮痛・鎮痙合成麻薬	821	ペチジン塩酸塩	pethidine hydrochloride（JP）	8211400A2045	185133502，185133504，185133505	薬価収載2009.10.01				塩化ナトリウム，pH調整剤
	ペチロルファン注射液	Pethilorfan	武田薬品工業		注射液：注射	1mL1管	353.00円／管	麻処	鎮痛・鎮痙剤	821	ペチジン塩酸塩・レバロルファン酒石酸塩	pethidine hydrochloride・levallorphan tartrate	8219501A1023	112084401，112084402，112084403，112084404，112084405					クロロクレゾール，pH調整剤
	ベニジピン塩酸塩錠2mg「テバ」	Benidipine Hydrochloride“TEVA”	武田テバファーマ	武田薬品工業	錠：内服	2mg1錠	10.10円／錠	後局劇処	ジヒドロピリジン系Ca拮抗剤	217	ベニジピン塩酸塩	benidipine hydrochloride（JP）	2171021F1270	117269001，117269002	薬価収載2015.06.19	t64 t064	黄		酸化チタン，ステアリン酸マグネシウム，乳糖水和物，バレイショデンプン，ヒプロメロース，ポリビニルアルコール（部分けん化物），マクロゴール6000，黄色三二酸化鉄
	ベニジピン塩酸塩錠4mg「テバ」	Benidipine Hydrochloride“TEVA”	武田テバファーマ	武田薬品工業	錠：内服	4mg1錠	14.00円／錠	後局劇処	ジヒドロピリジン系Ca拮抗剤	217	ベニジピン塩酸塩	benidipine hydrochloride（JP）	2171021F2292	117270601，117270602	薬価収載2015.06.19	t65 t065	黄	○	酸化チタン，ステアリン酸マグネシウム，乳糖水和物，バレイショデンプン，ヒプロメロース，ポリビニルアルコール（部分けん化物），マクロゴール6000，黄色三二酸化鉄
	ベニジピン塩酸塩錠8mg「テバ」	Benidipine Hydrochloride“TEVA”	武田テバファーマ	武田薬品工業	錠：内服	8mg1錠	28.20円／錠	後局劇処	ジヒドロピリジン系Ca拮抗剤	217	ベニジピン塩酸塩	benidipine hydrochloride（JP）	2171021F3256	120586201，120586202	薬価収載2015.03.01	t66 t066	黄	○	カルナウバロウ，酸化チタン，ステアリン酸マグネシウム，タルク，トウモロコシデンプン，乳糖水和物，ヒプロメロース，ポリビニルアルコール・アクリル酸・メタクリル酸メチル共重合体，マクロゴール6000，黄色三二酸化鉄
	ベネット錠2.5mg	Benet	武田薬品工業		錠：内服	2.5mg1錠	80.20円／錠	局劇処	ビスホスホネート系骨吸収抑制剤	399	リセドロン酸ナトリウム水和物	sodium risedronate hydrate（JP）	3999019F1034	114589201	薬価収載2002.04.26	〓395	白～帯黄白		トウモロコシデンプン，ヒドロキシプロピルセルロース，ステアリン酸マグネシウム，ヒプロメロース，マクロゴール6000，酸化チタン，乳糖水和物
	ベネット錠17.5mg	Benet	武田薬品工業		錠：内服	17.5mg1錠	488.30円／錠	局劇処	ビスホスホネート系骨吸収抑制剤	399	リセドロン酸ナトリウム水和物	sodium risedronate hydrate（JP）	3999019F2030	117845601	薬価収載2007.06.08	〓311	淡紅		乳糖水和物，トウモロコシデンプン，ヒドロキシプロピルセルロース，クロスポビドン，ステアリン酸マグネシウム，ヒプロメロース，マクロゴール6000，酸化チタン，三二酸化鉄
	ベネット錠75mg	Benet	武田薬品工業		錠：内服	75mg1錠	2,150.20円／錠	局劇処	ビスホスホネート系骨吸収抑制剤	399	リセドロン酸ナトリウム水和物	sodium risedronate hydrate（JP）	3999019F3037	122247001	薬価収載2013.02.22	〓312／75	微黄		乳糖水和物，トウモロコシデンプン，ヒドロキシプロピルセルロース，クロスポビドン，ステアリン酸マグネシウム，ヒプロメロース，マクロゴール6000，酸化チタン，黄色三二酸化鉄
	ベネフィクス静注用500	BeneFIX	ファイザー	武田薬品工業	静注用：注射	500国際単位1瓶（溶解液付）	55,703.00円／瓶	生処	遺伝子組換え血液凝固第IX因子製剤	634	ノナコグアルファ（遺伝子組換え）	nonacog alfa（genetical recombination）（JAN）	6343438D1026	119716701，119716703	薬価収載2009.12.11				精製白糖，グリシン，L-ヒスチジン，ポリソルベート80，pH調節剤
	ベネフィクス静注用1000	BeneFIX	ファイザー	武田薬品工業	静注用：注射	1,000国際単位1瓶（溶解液付）	108,551.00円／瓶	生処	遺伝子組換え血液凝固第IX因子製剤	634	ノナコグアルファ（遺伝子組換え）	nonacog alfa（genetical recombination）（JAN）	6343438D2022	119717401，119717403	薬価収載2009.12.11				精製白糖，グリシン，L-ヒスチジン，ポリソルベート80，pH調節剤
	ベネフィクス静注用2000	BeneFIX	ファイザー	武田薬品工業	静注用：注射	2,000国際単位1瓶（溶解液付）	209,501.00円／瓶	生処	遺伝子組換え血液凝固第IX因子製剤	634	ノナコグアルファ（遺伝子組換え）	nonacog alfa（genetical recombination）（JAN）	6343438D3029	119718101，119718103	薬価収載2009.12.11				精製白糖，グリシン，L-ヒスチジン，ポリソルベート80，pH調節剤
	ヘパリンNa透析用150単位／mLシリンジ20mL「AT」	Heparin	武田テバファーマ	武田薬品工業	キット：注射	3,000単位20mL1筒	159.00円／筒	後生処	血液凝固阻止剤	333	ヘパリンナトリウム	heparin sodium（JP）	3334402G8026	117595001，117595002，117595003，117595004	薬価収載2006.07.07				等張化剤，pH調節剤
