院内採用状況	製品名（■/◇：一般用薬/要指導医薬品）	製品名（英名）	製造販売会社	発売・販売会社	剤形	規格単位	薬価	規制区分	薬効	薬効分類	一般名	一般名（英名）	YJコード	HOTコード	製品備考	識別コード	色	割線の有無	添加物
	フェキソフェナジン塩酸塩OD錠60mg「KN」	Fexofenadine Hydrochloride「KN」	小林化工		口腔内崩壊錠：内服	60mg1錠	23.20円／錠	後	アレルギー性疾患治療剤	449	フェキソフェナジン塩酸塩	fexofenadine hydrochloride（JP）	4490023F3094	122922601	薬価収載2013.12.13	KN392／フェキソOD60	白	○	ポビドン，結晶セルロース（粒），アミノアルキルメタクリレートコポリマーE，含水二酸化ケイ素，乳糖水和物，結晶セルロース，クロスポビドン，アスパルテーム（L-フェニルアラニン化合物），ステアリン酸マグネシウム，香料
	フェキソフェナジン塩酸塩OD錠60mg「NP」	Fexofenadine Hydrochloride	ニプロ		口腔内崩壊錠：内服	60mg1錠	23.20円／錠	後	アレルギー性疾患治療剤	449	フェキソフェナジン塩酸塩	fexofenadine hydrochloride（JP）	4490023F3043	122588401	薬価収載2013.06.21	NP552／60 NP-552	白	○	結晶セルロース，クロスカルメロースナトリウム，ヒドロキシプロピルセルロース，D-マンニトール，タルク，アミノアルキルメタクリレートコポリマーRS分散液，クロスポビドン，カルメロース，含水二酸化ケイ素，アスパルテーム，アセスルファムカリウム，フマル酸ステアリルナトリウム，l-メントール，香料
	フェキソフェナジン塩酸塩OD錠60mg「YD」	Fexofenadine Hydrochloride	陽進堂	日本ジェネリック	口腔内崩壊錠：内服	60mg1錠	23.20円／錠	後	アレルギー性疾患治療剤	449	フェキソフェナジン塩酸塩	fexofenadine hydrochloride（JP）	4490023F3116	123090101，123090102	薬価収載2014.06.20	YD610／60	白		D－マンニトール，アスパルテーム（L－フェニルアラニン化合物），ヒドロキシプロピルセルロース，アミノアルキルメタクリレート共重合体E，タルク，ステアリン酸，ラウリル硫酸Na，エリスリトール，クロスポビドン，セルロース，ステアリン酸Mg，無水ケイ酸，タウマチン，香料
	フェキソフェナジン塩酸塩OD錠60mg「サワイ」	Fexofenadine Hydrochloride	沢井製薬		口腔内崩壊錠：内服	60mg1錠	23.20円／錠	後	アレルギー性疾患治療剤	449	フェキソフェナジン塩酸塩	fexofenadine hydrochloride（JP）	4490023F3108	122964601	薬価収載2013.12.13	SW FX60／60	白	○	アスパルテーム（L-フェニルアラニン化合物），アミノアルキルメタクリレートコポリマーE，クロスポビドン，結晶セルロース，タウマチン，二酸化ケイ素，フマル酸ステアリルNa，ポビドン，D-マンニトール，香料
	フェキソフェナジン塩酸塩OD錠60mg「トーワ」	Fexofenadine Hydrochloride“TOWA”	東和薬品		口腔内崩壊錠：内服	60mg1錠	23.20円／錠	後	アレルギー性疾患治療剤	449	フェキソフェナジン塩酸塩	fexofenadine hydrochloride（JP）	4490023F3051	122368201	薬価収載2013.06.21	フェキソ60／フェキソフェナジンOD60トーワ	白	○	D-マンニトール，ヒドロキシプロピルセルロース，タルク，アミノアルキルメタクリレートコポリマーE，軽質無水ケイ酸，アスパルテーム（L-フェニルアラニン化合物），香料，ステアリン酸Mg，その他3成分
	フェキソフェナジン塩酸塩OD錠60mg「ファイザー」	Fexofenadine Hydrochloride［Pfizer］	ファイザー		口腔内崩壊錠：内服	60mg1錠	23.20円／錠	後	アレルギー性疾患治療剤	449	フェキソフェナジン塩酸塩	fexofenadine hydrochloride（JP）	4490023F3060	122331601	薬価収載2013.06.21	PF FE／D60 PF FE D60	白	○	D-マンニトール，タルク，クロスカルメロースナトリウム，ヒドロキシプロピルセルロース，アンモニオアルキルメタクリレートコポリマー分散液，結晶セルロース，クロスポビドン，カルメロース，含水二酸化ケイ素，アスパルテーム，アセスルファムカリウム，フマル酸ステアリルナトリウム，l-メントール，香料
	フェキソフェナジン塩酸塩錠30mg「BMD」	Fexofenadine Hydrochloride	ビオメディクス		錠：内服	30mg1錠	23.40円／錠	後局	アレルギー性疾患治療剤	449	フェキソフェナジン塩酸塩	fexofenadine hydrochloride（JP）	4490023F2306	122398902	薬価収載2017.10.01，旧：フェキソフェナジン塩酸塩錠30mg「KOG」	BMD51／30	薄橙		部分アルファー化デンプン，結晶セルロース，クロスカルメロースナトリウム，ステアリン酸カルシウム，ヒプロメロース，マクロゴール6000，酸化チタン，軽質無水ケイ酸，三二酸化鉄，黄色三二酸化鉄，カルナウバロウ
	フェキソフェナジン塩酸塩錠30mg「CEO」	Fexofenadine Hydrochloride	セオリアファーマ	武田薬品工業	錠：内服	30mg1錠	18.40円／錠	後局	アレルギー性疾患治療剤	449	フェキソフェナジン塩酸塩	fexofenadine hydrochloride（JP）	4490023F2250	122310101	薬価収載2013.12.13	CEO101／30	薄橙		結晶セルロース，クロスカルメロースナトリウム，ヒドロキシプロピルセルロース，部分アルファー化デンプン，軽質無水ケイ酸，ステアリン酸マグネシウム，ヒプロメロース，マクロゴール，酸化チタン，三二酸化鉄，黄色三二酸化鉄，カルナウバロウ
	フェキソフェナジン塩酸塩錠30mg「DK」	Fexofenadine Hydrochloride	大興製薬		錠：内服	30mg1錠	9.90円／錠	後局	アレルギー性疾患治療剤	449	フェキソフェナジン塩酸塩	fexofenadine hydrochloride（JP）	4490023F2055	122628701，122628702	薬価収載2013.06.21	FH3／30	薄橙		結晶セルロース，部分アルファー化デンプン，軽質無水ケイ酸，クロスカルメロースナトリウム，ポビドン，フマル酸ステアリルナトリウム，ヒプロメロース，マクロゴール400，酸化チタン，三二酸化鉄，黄色三二酸化鉄
	フェキソフェナジン塩酸塩錠30mg「EE」	Fexofenadine Hydrochloride「EE」	エルメッドエーザイ		錠：内服	30mg1錠	18.40円／錠	後局	アレルギー性疾患治療剤	449	フェキソフェナジン塩酸塩	fexofenadine hydrochloride（JP）	4490023F2039	122208101	薬価収載2012.12.14	フェキソフェナジン30EE	薄橙		黄色三二酸化鉄，クロスカルメロースナトリウム，軽質無水ケイ酸，結晶セルロース，酸化チタン，三二酸化鉄，ステアリン酸マグネシウム，ヒプロメロース，部分アルファー化デンプン，ポビドン，マクロゴール400
