院内採用状況	製品名（■/◇：一般用薬/要指導医薬品）	製品名（英名）	製造販売会社	発売・販売会社	剤形	規格単位	薬価	規制区分	薬効	薬効分類	一般名	一般名（英名）	YJコード	HOTコード	製品備考	識別コード	色	割線の有無	添加物
	アレルゲンスクラッチエキス「トリイ」クロマツ花粉		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」ココア		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」ゴマ		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」小麦粉		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」米		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」コンニャク粉		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」サケ		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」サバ		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」サンマ		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」シイタケ（乾）		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」ジャガイモ		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」スギ花粉		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」ソバ粉		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」タケノコ		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」タコ		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」ダニ		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」タマネギ		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
