type,code,ingredient,norm,v1,v2,v3,name,maker,generic,brand,authorized,price,deadline,note
内用薬,5200036C1030,桂枝加苓朮附湯エキス,１ｇ,,,,クラシエ桂枝加苓朮附湯エキス細粒,クラシエ製薬,,,,6.50 ,,
内用薬,5200036D1027,桂枝加苓朮附湯エキス,１ｇ,,,,オースギ桂枝加苓朮附湯エキスＧ,大杉製薬,,,,6.20 ,,
内用薬,5200036F1036,桂枝加苓朮附湯エキス,１錠,,,,クラシエ桂枝加苓朮附湯エキス錠,大峰堂薬品工業,,,,3.10 ,,
内用薬,5200037C1034,桂枝人参湯エキス,１ｇ,,,,クラシエ桂枝人参湯エキス細粒,クラシエ製薬,,,,13.60 ,,
内用薬,5200037D1021,桂枝人参湯エキス,１ｇ,,,,ツムラ桂枝人参湯エキス顆粒（医療用）,ツムラ,,,,13.30 ,,
内用薬,5200038C1039,桂枝茯苓丸エキス,１ｇ,,,,コタロー桂枝茯苓丸料エキス細粒,小太郎漢方製薬,,,,7.10 ,,
内用薬,5200038C1047,桂枝茯苓丸エキス,１ｇ,,,,三和桂枝茯苓丸料エキス細粒,三和生薬,,,,10.80 ,,
内用薬,5200038C1055,桂枝茯苓丸エキス,１ｇ,,,,ジュンコウ桂枝茯苓丸料ＦＣエキス細粒医療用,康和薬通,,,,15.00 ,,
内用薬,5200038C1063,桂枝茯苓丸エキス,１ｇ,,,,〔東洋〕桂枝茯苓丸料エキス細粒,東洋薬行,,,,8.50 ,,
内用薬,5200038C1080,桂枝茯苓丸エキス,１ｇ,,,,クラシエ桂枝茯苓丸料エキス細粒,クラシエ製薬,,,,9.80 ,,
内用薬,5200038D1026,桂枝茯苓丸エキス,１ｇ,,,,オースギ桂枝茯苓丸料エキスＧ,大杉製薬,,,,10.70 ,,
内用薬,5200038D1077,桂枝茯苓丸エキス,１ｇ,,,,ＪＰＳ桂枝茯苓丸料エキス顆粒〔調剤用〕,ジェーピーエス製薬,,,,7.30 ,,
内用薬,5200038D1085,桂枝茯苓丸エキス,１ｇ,,,,太虎堂の桂枝茯苓丸料エキス顆粒,太虎精堂製薬,,,,6.50 ,,
内用薬,5200038D1093,桂枝茯苓丸エキス,１ｇ,,,,ツムラ桂枝茯苓丸エキス顆粒（医療用）,ツムラ,,,,8.50 ,,
内用薬,5200038D1107,桂枝茯苓丸エキス,１ｇ,,,,テイコク桂枝茯苓丸料エキス顆粒,帝國漢方製薬,,,,6.30 ,,
内用薬,5200038D1123,桂枝茯苓丸エキス,１ｇ,,,,本草桂枝茯苓丸料エキス顆粒－Ｍ,本草製薬,,,,5.50 ,,
内用薬,5200038D1131,桂枝茯苓丸エキス,１ｇ,,,,マツウラ桂枝茯苓丸料エキス顆粒,松浦薬業,,,,7.20 ,,
内用薬,5200038F1051,桂枝茯苓丸エキス,１錠,,,,クラシエ桂枝茯苓丸料エキス錠,大峰堂薬品工業,,,,4.40 ,,
内用薬,5200039D1039,桂枝茯苓丸加よく苡仁エキス,１ｇ,,,,ツムラ桂枝茯苓丸加よく苡仁エキス顆粒（医療用）,ツムラ,,,,10.00 ,,
内用薬,5200040C1028,桂芍知母湯エキス,１ｇ,,,,三和桂芍知母湯エキス細粒,三和生薬,,,,9.40 ,,
内用薬,5200041C1022,啓脾湯エキス,１ｇ,,,,〔東洋〕啓脾湯エキス細粒,東洋薬行,,,,21.20 ,,
内用薬,5200041D1028,啓脾湯エキス,１ｇ,,,,ツムラ啓脾湯エキス顆粒（医療用）,ツムラ,,,,20.90 ,,
内用薬,5200042C1027,桂麻各半湯エキス,１ｇ,,,,〔東洋〕桂麻各半湯エキス細粒,東洋薬行,,,,10.30 ,,
内用薬,5200043C1021,香蘇散エキス,１ｇ,,,,コタロー香蘇散エキス細粒,小太郎漢方製薬,,,,7.20 ,,
内用薬,5200043D1027,香蘇散エキス,１ｇ,,,,ツムラ香蘇散エキス顆粒（医療用）,ツムラ,,,,7.20 ,,
内用薬,5200043D1035,香蘇散エキス,１ｇ,,,,テイコク香蘇散エキス顆粒,帝國漢方製薬,,,,4.80 ,,
内用薬,5200044C1034,五虎湯エキス,１ｇ,,,,クラシエ五虎湯エキス細粒,クラシエ製薬,,,,6.40 ,,
内用薬,5200044D1030,五虎湯エキス,１ｇ,,,,ツムラ五虎湯エキス顆粒（医療用）,ツムラ,,,,6.70 ,,
内用薬,5200044F1022,五虎湯エキス,１錠,,,,オースギ五虎湯エキス錠,大杉製薬,,,,4.80 ,,
内用薬,5200045C1020,五積散エキス,１ｇ,,,,コタロー五積散エキス細粒,小太郎漢方製薬,,,,6.40 ,,
内用薬,5200045D1034,五積散エキス,１ｇ,,,,ツムラ五積散エキス顆粒（医療用）,ツムラ,,,,9.00 ,,
内用薬,5200045D1042,五積散エキス,１ｇ,,,,テイコク五積散エキス顆粒,帝國漢方製薬,,,,5.40 ,,
内用薬,5200046C1025,呉茱萸湯エキス,１ｇ,,,,コタロー呉茱萸湯エキス細粒,小太郎漢方製薬,,,,9.30 ,,
内用薬,5200046C1033,呉茱萸湯エキス,１ｇ,,,,ジュンコウ呉茱萸湯ＦＣエキス細粒医療用,康和薬通,,,,11.40 ,,
内用薬,5200046D1020,呉茱萸湯エキス,１ｇ,,,,太虎堂の呉茱萸湯エキス顆粒,太虎精堂製薬,,,,9.80 ,,
内用薬,5200046D1039,呉茱萸湯エキス,１ｇ,,,,ツムラ呉茱萸湯エキス顆粒（医療用）,ツムラ,,,,10.40 ,,
内用薬,5200047C1020,五淋散エキス,１ｇ,,,,〔東洋〕五淋散エキス細粒,東洋薬行,,,,13.30 ,,
内用薬,5200047D1025,五淋散エキス,１ｇ,,,,ツムラ五淋散エキス顆粒（医療用）,ツムラ,,,,11.40 ,,
内用薬,5200048A1023,五苓散,１ｇ,,,,本草五苓散顆粒－Ｒ,本草製薬,,,,2.40 ,,
内用薬,5200048C1032,五苓散エキス,１ｇ,,,,コタロー五苓散料エキス細粒,小太郎漢方製薬,,,,12.40 ,,
内用薬,5200048C1040,五苓散エキス,１ｇ,,,,三和五苓散料エキス細粒,三和生薬,,,,10.70 ,,
内用薬,5200048C1059,五苓散エキス,１ｇ,,,,ジュンコウ五苓散料ＦＣエキス細粒医療用,康和薬通,,,,20.60 ,,
内用薬,5200048C1067,五苓散エキス,１ｇ,,,,〔東洋〕五苓散料エキス細粒,東洋薬行,,,,12.20 ,,
内用薬,5200048C1075,五苓散エキス,１ｇ,,,,クラシエ五苓散料エキス細粒,クラシエ製薬,,,,13.50 ,,
内用薬,5200048D1046,五苓散エキス,１ｇ,,,,ＪＰＳ五苓散料エキス顆粒〔調剤用〕,ジェーピーエス製薬,,,,10.60 ,,
