診療年月：H30年04月～H31年03月　内服薬 外来（院外）　※集計結果が1000未満の場合は「‐」で表示（1000未満の箇所が1箇所の場合は1000以上の最小値を全て「‐」で表示）※集計対象期間内に名称や点数・金額等に変更がある場合、集計対象期間当初の情報で表示,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"薬効
分類",薬効分類名称,"医薬品
コード",医薬品名,単位,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計,男,,,,,,,,,,,,,,,,,,,,,女,,,,,,,,,,,,,,,,,,,,
type_code,type_name,code,name,measure,shusai_code,price,generic,total,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上
112,催眠鎮静剤，抗不安剤,620047101,セニラン錠２ｍｇ,錠,1124020F2048,5.6,1,42187569.52,-,-,8862.5,96335.5005,415932,896325.5,1498121.5,2089899.5,2930335.1,3246726,2749445.5,2035593,1371461,1070929.5,731568.5,404239.25,227941,98965,19283.5,1980,-,-,-,12384.5,187277.8,723975.2,1234546.5,1741319.5,2206509.42,2892379.25,3013818.5,2489948.5,1897774.5,1511835.35,1478881.5,1213575,803668.4,520519.25,264919.5,79906,17755,1718.5
112,催眠鎮静剤，抗不安剤,620053801,ロフラゼプ酸エチル錠１ｍｇ「サワイ」,錠,1124029F1123,6.7,1,41168809.5,-,-,12356,110399.71,419917.03,806550.04,1198900.19,1602610.03,2104832.165,2316921.715,1930863.815,1526056.31,1077090.975,1061092.753,960225.18,748020.82,518124.6,231996.1416,61667.5,7096.5,-,-,-,22809.02,225770.54,721867.325,1208333.931,1558023.925,1944978.02,2424426.35,2594005.86,2179281.57,1905682.02,1670095.08,1976461.193,1931910.875,1652294.44,1304715.724,803992.1,286306,55722.2,5655.25
112,催眠鎮静剤，抗不安剤,611170499,コンスタン０．４ｍｇ錠,錠,1124023F1029,8,0,41092041.43,-,-,7976.75,21495.75,64425,165380.25,334241.5,603560,1041888.7,1385571.35,1452948.25,1306689.25,1173793.5,1239568,1272175.5,1248946.5,1136394.4,656169,230537.5,32912,2764,-,-,8686,44288.875,108622.25,256363.5,515962,961320.75,1549960.5,2127499.25,2021449.75,1944576.25,1917155,2772229.95,3302167.95,3538830.25,3350120.25,2258203.95,844317.75,170322.5,22323.5
112,催眠鎮静剤，抗不安剤,621671201,ブロチゾラムＯＤ錠０．２５ｍｇ「テバ」,錠,1124009F2092,9.9,1,40846495.35,-,-,4704.5,25339.25,86935.625,172570.75,279179.25,410840.75,610193.5,796479.75,920443.25,1064053.5,1214676.5,2081124.75,2554106.5,2846827.45,2325247,1407513.75,510160.25,77846.75,8477,-,-,6053,43624.625,147763.5,258945,357134.5,497099.5,719219.75,897186.5,934740.75,1073463,1268542.5,2221026,2961704.55,3530626.5,3582595.5,2898691.75,1565177.85,426168,59723.5
112,催眠鎮静剤，抗不安剤,620038001,トリアゾラム錠０．２５ｍｇ「日医工」,錠,1124007F2239,5.8,1,38968887.92,-,-,2957.9,27553.5,128753,334232.5,621675.5,858426.5,1224239.5,1540413.25,1486888,1359245.5,1213264.9,1644470.5,1890772.5,1904057.85,1500763.8,912652.72,320352.5,43921,4931,-,-,4110,49492,275013.5,581627,800742,936726,1215037.5,1440546.6,1296016.25,1215730.75,1191483.75,1777992.75,2346895.5,2654846.45,2716864,2137704.55,1005361.15,270445.25,32681
112,催眠鎮静剤，抗不安剤,611120063,フェノバール錠３０ｍｇ,錠,1125004F1023,6.9,0,32054999.63,4408.1571,20483.957,79985.6496,176657,284808.5,561725.5,900934.75,1357905,1980760.25,2362326.05,1959377.75,1692449.85,1494505,1527236,1244005,946049,592641.95,281572,93403.5,12507,1024,3545.6875,13398.7914,68036.76686,144912.2,267878,427934,748147.25,1129945.1,1541636.98,1896446.5,1547289.25,1306031.74,1131365,1169773.5,1034221.5,815224,634647.5,370798.5,183907.5,42650,2444
112,催眠鎮静剤，抗不安剤,611170639,グランダキシン錠５０　５０ｍｇ,錠,1124026F1022,13.6,0,31259376.89,-,4127,63097,86753.5,73308,115454.5,158152,212953,305284.5,431290,464181.5,452794,446825,587626,696104,859550,811639,561471.5,184636,21325,2308,-,5439.5,85453.5,166456.896,159066.8,232886.5,342617.1,543608,881446.5,1418053.5,1863208.75,1723863.5,1647059,2437322.7,2883419.69,3525685.7,3389411,2316266.5,904379.25,180635.5,14082
112,催眠鎮静剤，抗不安剤,611120087,サイレース錠１ｍｇ,錠,1124008F1024,12.6,0,30536363.59,-,-,7569.15,23381.75,84784.75,204139.5,405819.45,634810.25,965031.75,1256293.5,1209890.25,1070105,929676,1101317.25,1288209.55,1478231.575,1196297.375,701183.75,230161.25,31543.5,2766,-,1387.2,4337,38503.6,130379.55,296016.1,518440,814267.5,1177278.1,1476770.325,1333958.25,1197277.75,1138755.8,1476424.55,1894333.76,2188848.19,1958483.35,1316089.7,599237.35,136846.5,16214
112,催眠鎮静剤，抗不安剤,620039501,ブロチゾラム錠０．２５ｍｇ「サワイ」,錠,1124009F1312,9.9,1,28967272.62,-,-,2530.5,22847,91425.5,210387.5,339520.75,497339.25,727122.95,869785.5,909011.95,841688.25,794706.75,1138201.589,1376002.608,1550354,1246648.75,806045.5,305564,45413.25,3910,-,-,3841.5,40484.5,175715.5,320766,425955.5,516659,738598.75,903764.75,877747.25,855038,947494.5,1472516.65,1919918,2400795.875,2369950.45,1953956.998,970295.55,258589,36210.75
112,催眠鎮静剤，抗不安剤,620049801,アルプラゾラム錠０．４ｍｇ「アメル」,錠,1124023F1126,5.6,1,28779030.98,-,-,3379.75,48551,182567.5,370329,658306.75,934208.75,1418689.75,1580772.25,1462050.25,1209023.25,889329.5,839290.25,670267.5,551367.25,390063,252553.25,77518,12058,1347,-,-,7185.25,95901.5,315243.25,630152,933875.73,1291727.75,1654756.75,1863563.75,1560200.75,1321679,1187839.25,1366828.5,1351722.5,1259260.75,1133296.75,783932.25,369970.25,89953,9330
