区分,薬価基準収載医薬品コード,成分名,規格,品名,,,,メーカー名,診療報酬において加算等の算定対象となる後発医薬品,先発医薬品,同一剤形・規格の後発医薬品がある先発医薬品,薬価,経過措置による使用期限,備考,,,,,
外用薬,1147700J1170,ジクロフェナクナトリウム,１２．５ｍｇ１個,,,,ジクロフェナクナトリウム坐剤１２．５ｍｇ「日医工」,日医工,後発品,,,19.30,,H26.6.20収載,,,,,
外用薬,1147700J1189,ジクロフェナクナトリウム,１２．５ｍｇ１個,,,,ジクロフェナクＮａ坐剤１２．５ｍｇ「ツルハラ」,鶴原製薬,後発品,,,19.30,,H27.6.19収載,,,,,
外用薬,1147700J1197,ジクロフェナクナトリウム,１２．５ｍｇ１個,,,,ジクロフェナクＮａ坐剤１２．５ｍｇ「日新」,日新製薬（山形）,後発品,,,19.30,,H27.6.19収載,,,,,
外用薬,1147700J2029,ジクロフェナクナトリウム,２５ｍｇ１個,,,,アデフロニックズポ２５,テバ製薬,後発品,,,19.90,,,,,,,
外用薬,1147700J2045,ジクロフェナクナトリウム,２５ｍｇ１個,,,,ボナフェック坐剤２５,日新製薬（山形）,後発品,,,19.90,H28.3.31まで,,,,,,
外用薬,1147700J2053,ジクロフェナクナトリウム,２５ｍｇ１個,,,,ボラボミン坐剤２５ｍｇ,鶴原製薬,後発品,,,19.90,H28.3.31まで,,,,,,
外用薬,1147700J2061,ジクロフェナクナトリウム,２５ｍｇ１個,,,,ボルタレンサポ２５ｍｇ,ノバルティス　ファーマ,,先発品,○,51.40,,,,,,,
外用薬,1147700J2088,ジクロフェナクナトリウム,２５ｍｇ１個,,,,ボンフェナック坐剤２５,京都薬品工業,後発品,,,19.90,,,,,,,
外用薬,1147700J2169,ジクロフェナクナトリウム,２５ｍｇ１個,,,,ベギータ坐剤２５,シオノケミカル,後発品,,,19.90,,,,,,,
外用薬,1147700J2177,ジクロフェナクナトリウム,２５ｍｇ１個,,,,メリカット坐剤２５,日医工,後発品,,,19.90,H27.3.31まで,,,,,,
外用薬,1147700J2207,ジクロフェナクナトリウム,２５ｍｇ１個,,,,ジクロフェナクナトリウム坐剤２５ｍｇ「ＪＧ」,日本ジェネリック,後発品,,,19.90,,,,,,,
外用薬,1147700J2215,ジクロフェナクナトリウム,２５ｍｇ１個,,,,ジクロフェナクナトリウム坐剤２５ｍｇ「タナベ」,長生堂製薬,後発品,,,19.90,H27.3.31まで,,,,,,
外用薬,1147700J2223,ジクロフェナクナトリウム,２５ｍｇ１個,,,,ジクロフェナクナトリウム坐剤２５ｍｇ「ＣＨ」,長生堂製薬,後発品,,,19.90,,H26.6.20収載,,,,,
外用薬,1147700J2231,ジクロフェナクナトリウム,２５ｍｇ１個,,,,ジクロフェナクナトリウム坐剤２５ｍｇ「日医工」,日医工,後発品,,,19.90,,H26.6.20収載,,,,,
外用薬,1147700J2240,ジクロフェナクナトリウム,２５ｍｇ１個,,,,ジクロフェナクＮａ坐剤２５ｍｇ「ツルハラ」,鶴原製薬,後発品,,,19.90,,H27.6.19収載,,,,,
外用薬,1147700J2258,ジクロフェナクナトリウム,２５ｍｇ１個,,,,ジクロフェナクＮａ坐剤２５ｍｇ「日新」,日新製薬（山形）,後発品,,,19.90,,H27.6.19収載,,,,,
外用薬,1147700J3017,ジクロフェナクナトリウム,５０ｍｇ１個,,,,ジクロフェナクナトリウム５０ｍｇ坐剤,,後発品,,,19.30,,,,,,,
外用薬,1147700J3084,ジクロフェナクナトリウム,５０ｍｇ１個,,,,ボルタレンサポ５０ｍｇ,ノバルティス　ファーマ,,先発品,○,63.10,,,,,,,
外用薬,1147700J3106,ジクロフェナクナトリウム,５０ｍｇ１個,,,,ボンフェナック坐剤５０,京都薬品工業,後発品,,,27.50,,,,,,,
外用薬,1147700J3190,ジクロフェナクナトリウム,５０ｍｇ１個,,,,メリカット坐剤５０,日医工,後発品,,,27.50,H27.3.31まで,,,,,,
