"医薬品
コード",医薬品名,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計
622278401,ゼプリオン水懸筋注５０ｍｇシリンジ,1179409G2021,"30,391.0 ",0,"5,999 "
622210701,ジプレキサ筋注用１０ｍｇ,1179408E1020,"2,126.0 ",0,"5,564 "
640463138,レボトミン筋注２５ｍｇ　２．５％１ｍＬ,1172403A1040,56.0 ,0,"4,217 "
640463104,ピーゼットシー筋注２ｍｇ　０．２％１ｍＬ,1172402A1046,62.0 ,0,"3,756 "
641170052,コントミン筋注１０ｍｇ　０．５％２ｍＬ,1171400A1015,92.0 ,0,"3,549 "
620004746,ヒルナミン筋注２５ｍｇ　２．５％１ｍＬ,1172403A1059,56.0 ,0,"3,198 "
641170056,コントミン筋注２５ｍｇ　０．５％５ｍＬ,1171400A2011,92.0 ,0,"2,484 "
622278301,ゼプリオン水懸筋注２５ｍｇシリンジ,1179409G1025,"18,958.0 ",0,"1,683 "
620007398,トロペロン注４ｍｇ　２ｍＬ,1179405A1032,206.0 ,0,"1,478 "
641170058,コントミン筋注５０ｍｇ　１％５ｍＬ,1171400A3018,94.0 ,0,-
641170032,クロルプロマジン塩酸塩注射液　０．５％５ｍＬ,1171400A2011,92.0 ,0,-
641170031,クロルプロマジン塩酸塩注射液　０．５％２ｍＬ,1171400A1015,92.0 ,0,-
621974901,ラジカット点滴静注バッグ３０ｍｇ　１００ｍＬ,1190401G1026,"5,893.0 ",0,"6,666 "
640451014,ラジカット注３０ｍｇ　２０ｍＬ,1190401A1023,"5,893.0 ",0,"2,167 "
622072501,エダラボン点滴静注液バッグ３０ｍｇ「日医工」　１００ｍＬ,1190401G1115,"2,589.0 ",1,"1,235 "
622079601,エダラボン点滴静注液３０ｍｇバッグ「ＮＰ」　１００ｍＬ,1190401G1069,"2,589.0 ",1,"1,043 "
622339501,タイサブリ点滴静注３００ｍｇ　１５ｍＬ,1190402A1028,"228,164.0 ",0,-
622063801,エダラボン点滴静注バッグ３０ｍｇ「ＮＳ」　１００ｍＬ,1190401G1131,"3,542.0 ",1,-
622044801,エダラボン点滴静注液３０ｍｇバッグ「明治」　１００ｍＬ,1190401G1093,"2,589.0 ",1,-
622043601,エダラボン点滴静注３０ｍｇバッグ「アイロム」　１００ｍＬ,1190401G1042,"2,589.0 ",1,-
622147101,エダラボン点滴静注バッグ３０ｍｇ「ファイザー」　１００ｍＬ,1190401G1190,"3,542.0 ",1,-
622067501,エダラボン点滴静注３０ｍｇバッグ「ＤＳＥＰ」　１００ｍＬ,1190401G1034,"3,542.0 ",1,-
622074601,エダラボン点滴静注バッグ３０ｍｇ「杏林」　１００ｍＬ,1190401G1166,"2,589.0 ",1,-
622075301,エダラボン点滴静注液３０ｍｇバッグ「ケミファ」　１００ｍＬ,1190401G1077,"3,542.0 ",1,-
622062003,エダラボン点滴静注液バッグ３０ｍｇ「ＴＹＫ」　１００ｍＬ,1190401G1182,"2,589.0 ",1,-
622052601,エダラボン点滴静注液３０ｍｇバッグ「サワイ」　１００ｍＬ,1190401G1085,"3,542.0 ",1,-
622072401,エダラボン点滴静注液３０ｍｇ「日医工」　２０ｍＬ,1190401A1201,"2,601.0 ",1,-
622074501,エダラボン点滴静注３０ｍｇ「杏林」　２０ｍＬ,1190401A1104,"3,349.0 ",1,-
622083501,エダラボン点滴静注３０ｍｇ「ハラサワ」　２０ｍＬ,1190401A1120,"2,601.0 ",1,-
622051501,エダラボン点滴静注３０ｍｇ「ＫＮ」　２０ｍＬ,1190401A1058,"3,349.0 ",1,-
622176901,エダラボン点滴静注液３０ｍｇバッグ「サンド」　１００ｍＬ,1190401G1212,"2,589.0 ",1,-
622048301,エダラボン点滴静注バッグ３０ｍｇ「ＡＡ」　１００ｍＬ,1190401G1123,"3,542.0 ",1,-
622061902,エダラボン点滴静注液３０ｍｇ「ＴＹＫ」　２０ｍＬ,1190401A1236,"3,349.0 ",1,-
622048701,エダラボン点滴静注バッグ３０ｍｇ「アメル」　１００ｍＬ,1190401G1158,"3,542.0 ",1,-
622075201,エダラボン点滴静注液３０ｍｇ「ケミファ」　２０ｍＬ,1190401A1171,"3,349.0 ",1,-
622071201,エダラボン点滴静注バッグ３０ｍｇ「ＹＤ」　１００ｍＬ,1190401G1140,"2,589.0 ",1,-
622045101,エダラボン点滴静注３０ｍｇバッグ「タカタ」　１００ｍＬ,1190401G1050,"2,589.0 ",1,-
622052501,エダラボン点滴静注液３０ｍｇ「サワイ」　２０ｍＬ,1190401A1198,"3,349.0 ",1,-
622044401,エダラボン点滴静注３０ｍｇ「ファイザー」　２０ｍＬ,1190401A1139,"3,349.0 ",1,-
622056501,エダラボン点滴静注３０ｍｇ「トーワ」　２０ｍＬ,1190401A2020,"3,349.0 ",1,-
622044701,エダラボン点滴静注３０ｍｇ「明治」　２０ｍＬ,1190401A1147,"2,601.0 ",1,-
622220401,エダラボン点滴静注３０ｍｇバッグ「ＨＫ」　１００ｍＬ,1190401G1220,"3,542.0 ",1,-
641210099,キシロカイン注射液１％,1214401A3020,11.2 ,0,"28,886,723 "
641210091,１％カルボカイン注,1214402A2028,11.5 ,0,"9,698,826 "
641210004,キシロカイン注射液「１％」エピレナミン（１：１００，０００）含有,1214400A2029,11.0 ,0,"9,020,361 "
641210022,リドカイン注射液　１％,1214401A3011,9.8 ,0,"8,558,754 "
641210093,キシロカイン注射液０．５％,1214401A1027,10.2 ,0,"7,129,587 "
620007262,キシロカイン注ポリアンプ１％　５ｍＬ,1214400A7055,60.0 ,0,"6,317,719 "
641210100,リドカイン注「ＮＭ」１％,1214401A3011,9.8 ,0,"4,593,551 "
641210020,リドカイン注射液　０．５％,1214401A1019,9.2 ,0,"3,134,892 "
641210090,０．５％カルボカイン注,1214402A1021,11.0 ,0,"2,873,474 "
641210018,マーカイン注０．２５％,1214403A2022,15.0 ,0,"2,816,083 "
620007263,キシロカイン注ポリアンプ１％　１０ｍＬ,1214400A8051,102.0 ,0,"2,183,318 "
640431027,１％塩酸メピバカイン注「ＮＭ」,1214402A2010,10.5 ,0,"1,917,073 "
641210003,キシロカイン注射液「０．５％」エピレナミン１：１００，０００含有,1214400A1022,10.8 ,0,"1,781,546 "
641210040,メピバカイン塩酸塩注射液　１％,1214402A2010,10.5 ,0,"1,738,324 "
620004314,カルボカインアンプル注１％　２ｍＬ,1214402A8018,103.0 ,0,"1,575,987 "
641210102,キシロカイン注射液２％,1214401A4026,16.4 ,0,"1,509,522 "
641210094,リドカイン注「ＮＭ」０．５％,1214401A1019,9.2 ,0,"1,373,667 "
641210019,マーカイン注０．５％,1214403A3029,20.3 ,0,"1,143,748 "
620004315,カルボカインアンプル注１％　５ｍＬ,1214402A9014,110.0 ,0,"1,069,598 "
641210005,キシロカイン注射液「２％」エピレナミン（１：８０，０００）含有,1214400A3025,16.5 ,0,"955,043 "
620007260,キシロカイン注ポリアンプ０．５％　５ｍＬ,1214400A5052,60.0 ,0,"812,431 "
641210017,マーカイン注０．１２５％,1214403A1026,13.3 ,0,"805,691 "
640431026,０．５％塩酸メピバカイン注「ＮＭ」,1214402A1013,9.8 ,0,"742,438 "
641210039,メピバカイン塩酸塩注射液　０．５％,1214402A1013,9.8 ,0,"657,322 "
620004316,カルボカインアンプル注１％　１０ｍＬ,1214402H1011,110.0 ,0,"651,517 "
620005863,ロカイン注１％　１ｍＬ,1211401A4016,92.0 ,0,"514,757 "
620002937,キシロカイン注シリンジ１％　１０ｍＬ,1214400G2021,222.0 ,1,"494,648 "
620007261,キシロカイン注ポリアンプ０．５％　１０ｍＬ,1214400A6059,98.0 ,0,"447,765 "
620005864,ロカイン注１％　２ｍＬ,1211401A5012,92.0 ,0,"414,526 "
641210031,プロカイン塩酸塩注射液　１％５ｍＬ,1211401A6019,92.0 ,0,"381,829 "
620006354,ロキシーン注２ｍｇ　０．２％１ｍＬ,1229401A1089,56.0 ,0,"1,184,939 "
